Operator,Reservoir,CompletionDate,LateralLength_FT,ProppantIntensity_LBSPerFT,FluidIntensity_BBLPerFT,HzDistanceToNearestOffsetAtDrill,HzDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetAtDrill,WellDepth,ReservoirThickness,OilInPlace,Porosity,ReservoirPressure,WaterSaturation,StructureDerivative,TotalOrganicCarbon,ClayVolume,CarbonateVolume,Maturity,TotalWellCost_USDMM,CumOil12Month
47,6,2017-08-18,9907.0,1739.0,52.0,727.726,727.726,26.7,26.7,6012.77,487.978,12679.955,0.062,3578.441606,0.744,0.011,2.47140976,0.193,0.295,0.932,6.62630558013916,178910.0625
47,6,2017-08-29,8072.0,1708.0,59.0,727.834,727.834,26.7,26.7,6039.469,487.978,17465.976,0.059,3992.315929,0.631,0.011,2.569814166,0.19,0.295,0.932,5.6420955657959,159369.765625
19,6,2018-02-19,9780.0,1616.0,44.0,177.615,177.615,336.592,336.592,6031.277,470.934,18149.334,0.063,3363.776101,0.636,0.018,2.840891109,0.176,0.291,0.94,5.59980010986328,129814.375
19,6,2018-02-19,9586.0,1596.0,43.0,176.865,176.865,56.497,56.497,6367.869,470.934,16568.501,0.067,3927.04061,0.673,0.018,4.913654827,0.206,0.248,0.94,5.53265237808228,90905.625
59,5,2016-10-14,10022.0,1886.0,36.0,2000.0,230.26,25.384,500.0,5406.984,,23225.076,0.063,2581.327299,0.296,0.016,2.925896467,0.229,0.117,0.83,5.30593490600586,317803.9375
59,5,2016-11-04,10022.0,1880.0,36.0,2000.0,1191.956,197.189,500.0,5392.492,,21620.419,0.051,2843.697592,0.204,0.015,2.477246523,0.205,0.218,0.829,5.29350471496582,204243.796875
59,2,2017-04-07,9936.0,2113.0,44.0,2000.0,1009.849,4.793,500.0,4953.776,,22750.38,0.057,2442.956221,0.452,0.014,2.155047059,0.239,0.112,0.829,5.61226320266724,190330.0
10,5,2014-08-21,5041.0,2494.0,56.0,2000.0,2000.0,500.0,500.0,6225.96,,30637.068,0.051,4006.086785,0.267,0.022,2.211876471,0.166,0.363,0.905,3.90595126152039,103800.671875
10,6,2012-07-21,2103.0,,38.0,2000.0,2000.0,500.0,500.0,6462.173,440.899,14816.076,0.043,4252.818094,0.633,0.023,2.165364649,0.135,0.4,0.907,2.03761792182922,46459.1328125
10,7,2015-05-25,5010.0,1677.0,38.0,2000.0,2000.0,500.0,500.0,6761.596,,13119.6245,0.048,4206.538233,0.68,,2.216362615,0.166,0.332,0.908,3.31723570823669,73832.0
10,6,2015-07-22,5030.0,2228.0,60.0,651.188,861.99,18.782,6.301,6479.929,426.457,14860.139,0.04,4315.599468,0.557,0.02,2.111522117,0.137,0.397,0.91,3.80764889717102,68317.234375
10,6,2014-11-16,5058.0,1720.0,41.0,2000.0,1032.113,48.818,500.0,6535.048,423.507,10729.658,0.037,3936.225815,0.651,0.017,1.841770952,0.127,0.447,0.909,3.35724544525146,72743.0
10,6,2015-07-22,5000.0,2241.0,62.0,1030.032,840.439,27.56,48.818,6486.23,423.507,15846.271,0.044,4061.776765,0.538,0.02,2.081121369,0.137,0.404,0.909,3.81927609443665,90315.0
10,6,2015-03-23,5033.0,1640.0,43.0,2000.0,2000.0,500.0,500.0,6593.131,409.366,9543.095,0.035,4372.021685,0.526,0.023,1.527706469,0.129,0.444,0.9,3.32629156112671,62189.71875
10,6,2019-07-12,10373.0,1860.0,40.0,651.699,651.699,0.232,0.232,6692.803,428.386,19848.309,0.054,4406.977842,0.486,0.004,3.081562685,0.176,0.264,0.911,5.84335279464722,295566.15625
43,5,2017-01-01,9152.0,1961.0,64.0,2000.0,862.79,286.875,500.0,5733.396,,30646.091,0.057,3761.120467,0.323,0.012,2.450970972,0.188,0.347,0.939,6.64811992645264,84097.0
43,6,2017-01-03,9301.0,1752.0,68.0,2000.0,840.488,242.016,500.0,6262.287,479.009,14394.914,0.063,3780.290556,0.728,0.013,4.730567762,0.197,0.268,0.939,6.63065481185913,166260.0
43,5,2017-09-09,9551.0,1644.0,56.0,888.606,516.583,81.845,85.31,5655.016,,33589.207,0.061,3516.183115,0.309,0.012,2.54374979,0.192,0.31,0.939,6.2853684425354,145873.0
43,6,2017-09-07,10021.0,1168.0,51.0,144.519,492.597,326.065,365.254,6020.27,476.804,24373.067,0.074,3122.053512,0.606,0.013,2.722807937,0.187,0.257,0.939,5.81422328948975,107950.0
43,5,2017-09-08,9955.0,1667.0,57.0,728.177,728.177,85.31,85.31,5740.326,,26084.713,0.053,3806.454637,0.374,0.014,2.357598667,0.185,0.364,0.938,6.5503454208374,182509.015625
43,6,2017-09-08,9780.0,1780.0,52.0,,,,,6061.60107421875,476.804,16047.104,0.074,3468.57105,0.722,0.013,2.482516533,0.228,0.189,0.938,6.61149978637695,117376.0
19,6,2018-04-30,10216.0,1598.0,39.0,223.522,223.522,500.0,209.006,6557.439,287.648,6681.643,0.067,3883.7905,0.757,0.015,3.120767641,0.193,0.172,0.815,5.77454090118408,104092.5546875
19,5,2018-04-27,10195.0,1594.0,,223.693,223.693,209.006,209.006,6348.433,,14686.699,0.054,3633.693955,0.489,0.014,2.432586749,0.198,0.282,0.815,5.80769014358521,183989.4375
28,2,2018-12-19,8211.0,2516.0,61.0,332.261,303.848,214.885,218.546,6534.141,,22629.696,0.059,3269.229206,0.507,0.013,2.739816856,0.221,0.147,0.895,7.26149654388428,136757.125
23,5,2014-11-01,7727.0,,,834.76,451.863,24.477,28.103,4716.336,,25340.338,0.063,2960.51105,0.284,0.024,2.75732784,0.21,0.254,0.816,3.7450110912323,102194.484375
23,6,2014-11-22,4524.0,142.0,6.0,69.007,69.007,295.507,90.044,5011.843,431.694,14161.83075,0.06,2347.489533,0.639,0.022,2.369362494,0.215,0.189,0.82,1.73271071910858,22599.517578125
23,5,2016-02-18,7673.0,1643.0,42.0,840.129,838.083,26.332,24.56,4744.439,,18968.431,0.053,2881.156241,0.344,0.024,2.568102755,0.205,0.279,0.814,4.29455327987671,87617.0
23,5,2016-02-29,7724.0,1673.0,43.0,842.076,842.076,5.614,5.614,4719.879,,20173.579,0.054,3002.394695,0.334,0.024,2.577432783,0.206,0.27,0.812,4.36101484298706,109771.0
23,5,2016-01-06,7563.0,1619.0,42.0,899.794,899.794,5.614,5.614,4714.265,,17528.499,0.05,2801.150529,0.363,0.024,2.490500879,0.203,0.283,0.809,4.2200493812561,111107.0
23,5,2015-12-31,7239.0,,,603.061,40.359,73.058,2.403,4641.208,,23148.506,0.06,2713.868157,0.317,0.021,2.699283625,0.205,0.256,0.807,3.40546798706055,107213.0
